student_id,course_id,assessment,score
SV001,PRJ301,Lab_1,7.2
SV001,PRJ301,Quiz_1,7.6
SV001,PRJ301,Lab_2,8.0
SV001,PRJ301,Quiz_2,7.1
SV001,PRJ301,ASM_1,7.1
SV001,PRJ301,Lab_3,8.0
SV001,PRJ301,Quiz_3,7.6
SV001,PRJ301,Lab_4,7.0
SV001,PRJ301,Quiz_4,7.5
SV001,PRJ301,ASM_2,7.0
SV001,PRJ301,Final,7.0
SV001,DBI202,Lab_1,6.2
SV001,DBI202,Quiz_1,6.3
SV001,DBI202,Lab_2,6.8
SV001,DBI202,Quiz_2,6.6
SV001,DBI202,ASM_1,7.3
SV001,DBI202,Lab_3,6.7
SV001,DBI202,Quiz_3,6.4
SV001,DBI202,Lab_4,7.9
SV001,DBI202,Quiz_4,7.0
SV001,DBI202,ASM_2,7.2
SV001,DBI202,Final,6.4
SV001,SWE201,Lab_1,6.8
SV001,SWE201,Quiz_1,6.2
SV001,SWE201,Lab_2,6.9
SV001,SWE201,Quiz_2,6.4
SV001,SWE201,ASM_1,6.6
SV001,SWE201,Lab_3,6.4
SV001,SWE201,Quiz_3,7.7
SV001,SWE201,Lab_4,6.7
SV001,SWE201,Quiz_4,6.2
SV001,SWE201,ASM_2,7.1
SV001,SWE201,Final,6.1
SV001,SWT301,Lab_1,6.1
SV001,SWT301,Quiz_1,6.4
SV001,SWT301,Lab_2,7.2
SV001,SWT301,Quiz_2,7.5
SV001,SWT301,ASM_1,7.2
SV001,SWT301,Lab_3,7.0
SV001,SWT301,Quiz_3,7.0
SV001,SWT301,Lab_4,6.4
SV001,SWT301,Quiz_4,6.7
SV001,SWT301,ASM_2,6.9
SV001,SWT301,Final,7.6
SV001,PRM392,Lab_1,6.3
SV001,PRM392,Quiz_1,7.3
SV001,PRM392,Lab_2,7.0
SV001,PRM392,Quiz_2,6.8
SV001,PRM392,ASM_1,7.5
SV001,PRM392,Lab_3,7.7
SV001,PRM392,Quiz_3,7.6
SV001,PRM392,Lab_4,6.8
SV001,PRM392,Quiz_4,7.0
SV001,PRM392,ASM_2,7.3
SV001,PRM392,Final,7.7
SV001,ITE302,Lab_1,6.7
SV001,ITE302,Quiz_1,6.2
SV001,ITE302,Lab_2,6.2
SV001,ITE302,Quiz_2,7.2
SV001,ITE302,ASM_1,7.4
SV001,ITE302,Lab_3,6.7
SV001,ITE302,Quiz_3,7.3
SV001,ITE302,Lab_4,6.9
SV001,ITE302,Quiz_4,6.4
SV001,ITE302,ASM_2,6.9
SV001,ITE302,Final,7.5
SV002,PRJ301,Lab_1,7.8
SV002,PRJ301,Quiz_1,5.7
SV002,PRJ301,Lab_2,7.4
SV002,PRJ301,Quiz_2,7.0
SV002,PRJ301,ASM_1,6.8
SV002,PRJ301,Lab_3,7.0
SV002,PRJ301,Quiz_3,6.0
SV002,PRJ301,Lab_4,6.9
SV002,PRJ301,Quiz_4,7.2
SV002,PRJ301,ASM_2,7.7
SV002,PRJ301,Final,6.7
